,count,mean,std,min,25%,50%,75%,max
v2a1,9557.0,139942.41330961598,81474.26577458483,0.0,130000.0,130000.0,130000.0,2353477.0
hacdor,9557.0,0.038087265878413726,0.1914169792456195,0.0,0.0,0.0,0.0,1.0
rooms,9557.0,4.955529978026577,1.46838100053474,1.0,4.0,5.0,6.0,11.0
hacapo,9557.0,0.023647588155278853,0.1519565590658247,0.0,0.0,0.0,0.0,1.0
v14a,9557.0,0.994768232709009,0.07214527373816934,0.0,1.0,1.0,1.0,1.0
refrig,9557.0,0.9576226849429738,0.20145899068283568,0.0,1.0,1.0,1.0,1.0
v18q,9557.0,0.2317672909908967,0.4219832297823893,0.0,0.0,0.0,0.0,1.0
v18q1,9557.0,1.093648634508737,0.40496919562486766,1.0,1.0,1.0,1.0,6.0
r4h1,9557.0,0.38589515538348856,0.6807785741566298,0.0,0.0,0.0,1.0,5.0
r4h2,9557.0,1.559171288061107,1.0365741864499536,0.0,1.0,1.0,2.0,8.0
r4h3,9557.0,1.9450664434445957,1.1888522189288773,0.0,1.0,2.0,3.0,8.0
r4m1,9557.0,0.3991838443026054,0.6924602641693536,0.0,0.0,0.0,1.0,6.0
r4m2,9557.0,1.6617139269645287,0.9330520548574471,0.0,1.0,1.0,2.0,6.0
r4m3,9557.0,2.060897771267134,1.2061721022903424,0.0,1.0,2.0,3.0,8.0
r4t1,9557.0,0.785078999686094,1.047558517390904,0.0,0.0,0.0,1.0,7.0
r4t2,9557.0,3.2208852150256355,1.4409948757022033,1.0,2.0,3.0,4.0,11.0
r4t3,9557.0,4.00596421471173,1.771201772201186,1.0,3.0,4.0,5.0,13.0
tamhog,9557.0,3.9990582818876215,1.7722156698748954,1.0,3.0,4.0,5.0,13.0
tamviv,9557.0,4.094590352621116,1.8764276083570652,1.0,3.0,4.0,5.0,15.0
escolari,9557.0,7.200272051899131,4.730876546027064,0.0,4.0,6.0,11.0,21.0
rez_esc,9557.0,0.07837187401904364,0.4272405381445506,0.0,0.0,0.0,0.0,5.0
hhsize,9557.0,3.9990582818876215,1.7722156698748954,1.0,3.0,4.0,5.0,13.0
paredblolad,9557.0,0.5940148582191064,0.4911073640874448,0.0,0.0,1.0,1.0,1.0
paredzocalo,9557.0,0.07774406194412473,0.26778242270145464,0.0,0.0,0.0,0.0,1.0
paredpreb,9557.0,0.18802971643821284,0.3907563422385324,0.0,0.0,0.0,0.0,1.0
